,Subject,cope,fb,r,w_r
0,CCD012,3,FEEDBACK,-0.106088059913,-0.26924745274
1,CCD012,4,FEEDBACK,-0.0559200121278,-0.180619069186
2,CCD012,3,NOFEEDBACK,-0.288780518506,-0.265152968304
3,CCD012,4,NOFEEDBACK,0.0216323615893,0.129752545971
4,CCD014,3,FEEDBACK,-0.195599711457,-0.24454699284
5,CCD014,4,FEEDBACK,0.0913015815698,0.231645313102
6,CCD014,3,NOFEEDBACK,-0.0524201980774,-0.0226686284416
7,CCD014,4,NOFEEDBACK,0.167772361915,0.339492563497
8,CCD015,3,NOFEEDBACK,0.0717508306912,0.0446344321584
9,CCD015,4,NOFEEDBACK,0.220545164129,0.251858037828
10,CCD015,3,FEEDBACK,-0.308489327319,-0.430184773637
11,CCD015,4,FEEDBACK,-0.220746313009,-0.386625344022
12,CCD016,3,FEEDBACK,-0.422783505369,-0.546546845416
13,CCD016,4,FEEDBACK,-0.270057486394,-0.255670283265
14,CCD016,3,NOFEEDBACK,-0.304991785013,-0.276552853019
15,CCD016,4,NOFEEDBACK,0.225440197077,0.428964453823
16,CCD017,3,NOFEEDBACK,-0.147246394433,-0.33861434395
17,CCD017,4,NOFEEDBACK,-0.00558037180141,-0.193498334822
18,CCD017,3,FEEDBACK,-0.108085884472,-0.118558531067
19,CCD017,4,FEEDBACK,-0.0169717605887,0.0506510329837
20,CCD018,3,FEEDBACK,-0.161059305968,-0.100867525917
21,CCD018,4,FEEDBACK,-0.0216308202311,0.208978091911
22,CCD018,3,NOFEEDBACK,-0.062753051248,0.021385064519
23,CCD018,4,NOFEEDBACK,0.285541732937,0.446478653521
24,CCD019,3,NOFEEDBACK,0.209412138729,0.362479119967
25,CCD019,4,NOFEEDBACK,0.305271246526,0.404319983799
26,CCD019,3,FEEDBACK,-0.0272560597315,-0.0160858630733
27,CCD019,4,FEEDBACK,0.150357461657,0.367344405639
28,CCD020,3,FEEDBACK,-0.0986164383885,-0.242704225485
29,CCD020,4,FEEDBACK,0.0473084728324,-0.0156473115198
30,CCD020,3,NOFEEDBACK,-0.0902321063035,-0.0850030520441
31,CCD020,4,NOFEEDBACK,0.378353200539,0.508658502826
32,CCD021,3,NOFEEDBACK,-0.0061995786581,0.0934607150099
33,CCD021,4,NOFEEDBACK,0.283693665045,0.471880020074
34,CCD021,3,FEEDBACK,-0.0266442708489,0.0183966531537
35,CCD021,4,FEEDBACK,0.00117479116239,0.103434892413
36,CCD022,3,FEEDBACK,-0.266388698977,-0.37983930422
37,CCD022,4,FEEDBACK,-0.216362952445,-0.279499646978
38,CCD022,3,NOFEEDBACK,-0.20643760255,-0.190127166099
39,CCD022,4,NOFEEDBACK,-0.232283589226,-0.283259187386
40,CCD023,3,NOFEEDBACK,0.099407157179,0.261893479456
41,CCD023,4,NOFEEDBACK,0.212831163855,0.384120414245
42,CCD023,3,FEEDBACK,-0.465067018045,-0.481042634212
43,CCD023,4,FEEDBACK,-0.351997922017,-0.344635010331
44,CCD024,3,FEEDBACK,0.00735439098024,0.28121271317
45,CCD024,4,FEEDBACK,0.0990623348591,0.428423746375
46,CCD024,3,NOFEEDBACK,0.147646634872,0.244013897146
47,CCD024,4,NOFEEDBACK,0.273496127408,0.490738946461
48,CCD025,3,NOFEEDBACK,0.0856019390424,0.285027534935
49,CCD025,4,NOFEEDBACK,0.379720826649,0.685803118316
50,CCD025,3,FEEDBACK,-0.0562203990933,-0.0822547107687
51,CCD025,4,FEEDBACK,0.167157337251,0.364113529173
52,CCD026,3,FEEDBACK,-0.109063817069,-0.198661506134
53,CCD026,4,FEEDBACK,-0.10671648379,-0.150843890085
54,CCD026,3,NOFEEDBACK,0.0562925008975,0.184459842032
55,CCD026,4,NOFEEDBACK,-0.00687998231033,0.0785467285249
56,CCD027,3,NOFEEDBACK,0.0607867946163,0.103363141216
57,CCD027,4,NOFEEDBACK,0.341902829716,0.502037430373
58,CCD027,3,FEEDBACK,0.0639715519781,0.157280133398
59,CCD027,4,FEEDBACK,0.375317304621,0.498998880756
60,CCD031,3,FEEDBACK,0.0453802278625,0.0433963032763
61,CCD031,4,FEEDBACK,-0.0061489738042,-0.079373571135
62,CCD031,3,NOFEEDBACK,0.0228978585425,0.0461287932845
63,CCD031,4,NOFEEDBACK,0.0513715630223,0.150820923945
64,CCD032,3,NOFEEDBACK,0.0347165074415,-0.0279241701462
65,CCD032,4,NOFEEDBACK,-0.0404865387958,-0.173076936726
66,CCD032,3,FEEDBACK,0.174835959374,0.245778858702
67,CCD032,4,FEEDBACK,0.0230839555351,0.119375151164
68,CCD040,3,NOFEEDBACK,-0.133995835887,-0.156149188698
69,CCD040,4,NOFEEDBACK,-0.016702351111,0.0404618984383
70,CCD040,3,FEEDBACK,-0.232627249888,-0.399697809989
71,CCD040,4,FEEDBACK,-0.268004116446,-0.463150854651
72,CCD041,3,NOFEEDBACK,0.228338086999,0.278957752692
73,CCD041,4,NOFEEDBACK,0.158121710475,0.215879368548
74,CCD041,3,FEEDBACK,-0.0609303247757,-0.186854349575
75,CCD041,4,FEEDBACK,-0.0255670625958,-0.147132711296
76,CCD042,3,FEEDBACK,0.0237543354628,-0.0636635723263
77,CCD042,4,FEEDBACK,0.0355147910831,0.0841231861291
78,CCD042,3,NOFEEDBACK,0.16541879029,0.246983099409
79,CCD042,4,NOFEEDBACK,0.00625995777963,0.0444971552155
80,CCD052,3,FEEDBACK,-0.0064866915407,0.0116210288182
81,CCD052,4,FEEDBACK,0.0494902030438,0.161357699624
82,CCD052,3,NOFEEDBACK,-0.064630110835,-0.236495499828
83,CCD052,4,NOFEEDBACK,-0.0691375525868,-0.200409415626
84,CCD053,3,FEEDBACK,-0.2023053932,-0.376452428365
85,CCD053,4,FEEDBACK,-0.181581350921,-0.34840859877
86,CCD053,3,NOFEEDBACK,-0.270595148407,-0.372740430746
87,CCD053,4,NOFEEDBACK,-0.175505673809,-0.32656429968
88,CCD059,3,NOFEEDBACK,-0.0134443217795,0.0506414729668
89,CCD059,4,NOFEEDBACK,-0.0306922512657,8.71822418751e-06
90,CCD059,3,FEEDBACK,-0.0219601147377,-0.0260589982827
91,CCD059,4,FEEDBACK,0.00748263850773,9.78558084704e-05
92,CCD060,3,NOFEEDBACK,-0.383282071738,-0.427047735884
93,CCD060,4,NOFEEDBACK,-0.256080657373,-0.275797149913
94,CCD060,3,FEEDBACK,-0.118136072918,0.137280602108
95,CCD060,4,FEEDBACK,-0.0425272719184,0.205958410564
96,CCD063,3,FEEDBACK,-0.031868950709,0.101921876654
97,CCD063,4,FEEDBACK,0.074762487769,0.291234259745
98,CCD063,3,NOFEEDBACK,-0.0949593866604,-0.190178185692
99,CCD063,4,NOFEEDBACK,0.0315694477279,-0.0876970247626
100,CCD064,3,FEEDBACK,-0.0711542488861,-0.15303726806
101,CCD064,4,FEEDBACK,-0.0724828875947,-0.0868392918442
102,CCD064,3,NOFEEDBACK,-0.025865929009,-0.0980512622354
103,CCD064,4,NOFEEDBACK,-0.0636789163966,-0.179880100472
104,CCD067,3,FEEDBACK,-0.221052516967,-0.427509029638
105,CCD067,4,FEEDBACK,-0.167811218516,-0.187013075687
106,CCD067,3,NOFEEDBACK,0.0542078057518,0.0204239391944
107,CCD067,4,NOFEEDBACK,-0.115625956852,-0.179647519049
108,CCD071,3,FEEDBACK,-0.0134672608614,-0.0703669778232
109,CCD071,4,FEEDBACK,0.0205942583531,0.0886071802962
110,CCD071,3,NOFEEDBACK,0.187253246156,0.410925642093
111,CCD071,4,NOFEEDBACK,0.13662943439,0.423725720189
112,CCD073,3,FEEDBACK,-0.178384368353,-0.137881394162
113,CCD073,4,FEEDBACK,-0.134741456545,-0.173867900354
114,CCD073,3,NOFEEDBACK,-0.200169100891,-0.25797164148
115,CCD073,4,NOFEEDBACK,-0.000969433646554,0.00811131159314
116,CCD074,3,NOFEEDBACK,0.052605805118,0.0384916398114
117,CCD074,4,NOFEEDBACK,0.0886826102443,0.0450546408956
118,CCD074,3,FEEDBACK,0.0672816729482,0.082719147594
119,CCD074,4,FEEDBACK,0.127819918158,0.165896072962
120,CCD081,3,NOFEEDBACK,0.0251443862456,0.231263421265
121,CCD081,4,NOFEEDBACK,0.0812917127367,0.264507407126
122,CCD081,3,FEEDBACK,0.027938850375,0.0823831378964
123,CCD081,4,FEEDBACK,0.0683842033279,0.0929765995642
124,CCD082,3,FEEDBACK,-0.0582068168039,-0.04298695667
125,CCD082,4,FEEDBACK,0.0136915961659,0.0558653952877
126,CCD082,3,NOFEEDBACK,0.11039637858,0.393134167159
127,CCD082,4,NOFEEDBACK,0.0646922165952,0.232392658358
128,CCD084,3,FEEDBACK,-0.0693281730736,0.021984133173
129,CCD084,4,FEEDBACK,-0.0469090288938,0.0849646417389
130,CCD084,3,NOFEEDBACK,0.137423265999,0.463207625193
131,CCD084,4,NOFEEDBACK,0.174878216129,0.448745705323
132,CCD085,3,NOFEEDBACK,-0.545770966149,-0.691780559972
133,CCD085,4,NOFEEDBACK,-0.247479522354,-0.293823131507
134,CCD085,3,FEEDBACK,-0.491089248374,-0.665170519692
135,CCD085,4,FEEDBACK,-0.354458279297,-0.497828495088
136,CCD088,3,FEEDBACK,-0.071409179884,-0.0835110603515
137,CCD088,4,FEEDBACK,0.219831251748,0.459015329514
138,CCD088,3,NOFEEDBACK,-0.151784985315,-0.195241460805
139,CCD088,4,NOFEEDBACK,0.10397160624,0.263835975371
140,CCD089,3,FEEDBACK,-0.00411868254687,0.102144614644
141,CCD089,4,FEEDBACK,0.10451969628,0.326300217582
142,CCD089,3,NOFEEDBACK,-0.0363050752927,-0.0627118692295
143,CCD089,4,NOFEEDBACK,0.131293671428,0.321364892595
144,CCD090,3,NOFEEDBACK,0.155032315505,0.282140445462
145,CCD090,4,NOFEEDBACK,0.147617086785,0.296355684782
146,CCD090,3,FEEDBACK,0.0119948509095,-0.0853527400552
147,CCD090,4,FEEDBACK,0.034559448414,-0.0713801419861
148,CCD091,3,NOFEEDBACK,-0.012585899339,0.03997764801
149,CCD091,4,NOFEEDBACK,0.00841371278134,0.228774934154
150,CCD091,3,FEEDBACK,-0.117225976398,-0.120277486758
151,CCD091,4,FEEDBACK,-0.0460771993969,0.116286864648
152,CCD092,3,FEEDBACK,0.107164615132,0.311568894827
153,CCD092,4,FEEDBACK,0.20246805483,0.505543262654
154,CCD092,3,NOFEEDBACK,0.126106785069,0.327999986418
155,CCD092,4,NOFEEDBACK,0.155809845945,0.399197519482
156,CCD094,3,NOFEEDBACK,-0.0760336597004,0.041722965059
157,CCD094,4,NOFEEDBACK,0.0827492024089,0.346982935632
158,CCD094,3,FEEDBACK,0.00400217542303,0.127527871622
159,CCD094,4,FEEDBACK,0.0549539384862,0.21914424042
160,CCD095,3,FEEDBACK,-0.0651826711485,-0.103220085419
161,CCD095,4,FEEDBACK,0.0629881622232,0.0731785478147
162,CCD095,3,NOFEEDBACK,-0.0500497140879,0.304815025623
163,CCD095,4,NOFEEDBACK,0.170345586007,0.420566976901
164,CCD097,3,NOFEEDBACK,-0.204668816348,-0.218630801205
165,CCD097,4,NOFEEDBACK,-0.0186289327764,0.180608445198
166,CCD097,3,FEEDBACK,-0.0796660841551,0.016612657067
167,CCD097,4,FEEDBACK,0.11731238771,0.327866143283
168,CCD099,3,FEEDBACK,-0.0608751011403,0.00264237103204
169,CCD099,4,FEEDBACK,0.122381484949,0.297243640267
170,CCD099,3,NOFEEDBACK,0.0417423020971,0.148718961324
171,CCD099,4,NOFEEDBACK,0.0691002353146,0.146530934544
